,,,"Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)"
"Country","Year","Age Group","Both sexes","Male","Female","Both sexes","Male","Female"
"China","2016","18+  years","14.1 [10.1-19.4]","16.0 [11.7-21.4]","12.2 [8.5-17.3]","14.4 [10.3-19.7]","16.2 [11.9-21.7]","12.5 [8.7-17.6]"
"Colombia","2016","18+  years","44.0 [35.4-52.7]","38.8 [30.5-47.0]","48.9 [39.9-58.0]","43.0 [34.4-51.6]","37.5 [29.3-45.6]","48.2 [39.2-57.3]"
"Comoros","2016","18+  years","14.3 [10.7-17.9]","9.6 [7.4-11.9]","19.0 [14.1-23.9]","12.5 [9.2-15.8]","7.8 [5.8-9.8]","17.2 [12.5-21.8]"
"Congo","2016","18+  years","28.0 [21.6-35.5]","24.8 [18.9-31.7]","31.3 [24.3-39.2]","26.3 [20.1-33.4]","22.7 [17.2-29.3]","29.7 [23.0-37.5]"
"Cook Islands","2016","18+  years","18.5 [13.3-24.9]","9.8 [6.9-13.6]","27.2 [19.7-36.2]","20.9 [15.3-27.8]","11.5 [8.1-15.9]","30.4 [22.4-39.8]"
"Costa Rica","2016","18+  years","46.1 [37.9-54.4]","37.7 [30.3-45.7]","54.3 [45.5-62.9]","46.2 [38.1-54.6]","37.8 [30.3-45.8]","54.6 [45.8-63.2]"
"Côte d'Ivoire","2016","18+  years","33.1 [26.7-39.4]","29.1 [23.6-34.5]","37.3 [30.0-44.6]","31.0 [24.9-37.2]","27.2 [22.0-32.4]","35.0 [27.9-42.2]"
"Croatia","2016","18+  years","31.1 [24.1-39.0]","25.9 [20.0-32.7]","35.8 [27.9-44.7]","33.4 [26.2-41.5]","27.7 [21.6-34.7]","38.6 [30.4-47.6]"
"Cuba","2016","18+  years","36.9 [29.2-45.2]","30.9 [24.1-38.7]","42.8 [34.3-51.7]","38.2 [30.4-46.6]","32.0 [25.0-39.9]","44.3 [35.7-53.2]"
"Cyprus","2016","18+  years","44.4 [36.8-52.1]","38.4 [31.6-45.6]","50.5 [42.2-58.8]","45.3 [37.7-53.0]","39.0 [32.2-46.4]","51.7 [43.4-59.9]"
"Czechia","2016","18+  years","31.1 [24.2-38.8]","28.1 [22.0-35.1]","33.9 [26.3-42.4]","33.2 [26.1-41.1]","29.8 [23.5-37.0]","36.4 [28.6-45.0]"
"Democratic People's Republic of Korea","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Democratic Republic of the Congo","2016","18+  years","23.8 [18.6-30.0]","20.8 [16.1-26.5]","26.8 [21.1-33.3]","22.2 [17.2-28.0]","19.2 [14.7-24.6]","25.1 [19.6-31.4]"
"Denmark","2016","18+  years","28.5 [22.7-35.0]","25.7 [20.7-31.5]","31.2 [24.8-38.4]","30.8 [24.7-37.5]","27.8 [22.5-33.9]","33.6 [26.9-41.0]"
"Djibouti","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Dominica","2016","18+  years","21.6 [16.3-28.0]","13.4 [9.9-18.0]","29.8 [22.7-38.1]","24.8 [18.9-31.6]","15.9 [11.8-21.1]","33.7 [26.1-42.2]"
"Dominican Republic","2016","18+  years","39.0 [30.9-47.7]","34.4 [27.1-42.6]","43.4 [34.6-52.6]","37.9 [29.9-46.5]","33.3 [26.1-41.3]","42.4 [33.7-51.6]"
"Ecuador","2016","18+  years","27.2 [19.7-34.6]","24.6 [18.1-31.1]","29.7 [21.3-38.1]","26.5 [19.2-33.9]","23.7 [17.4-30.1]","29.3 [21.0-37.6]"
"Egypt","2016","18+  years","31.0 [23.6-39.5]","23.2 [17.3-30.5]","38.8 [29.9-48.5]","29.9 [22.6-38.2]","21.6 [16.0-28.6]","38.1 [29.3-47.8]"
"El Salvador","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Equatorial Guinea","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Eritrea","2016","18+  years","22.4 [18.8-25.9]","13.8 [11.6-15.9]","30.7 [25.8-35.7]","20.5 [17.3-23.7]","11.7 [10.0-13.5]","29.0 [24.4-33.6]"
"Estonia","2016","18+  years","32.0 [25.1-39.8]","28.9 [22.8-35.8]","34.6 [27.0-43.1]","34.2 [27.1-42.2]","30.2 [23.9-37.3]","37.6 [29.7-46.2]"
"Eswatini","2016","18+  years","28.0 [23.1-32.9]","23.8 [20.2-27.3]","32.1 [26.0-38.2]","26.5 [21.9-31.1]","22.1 [18.9-25.3]","30.8 [24.9-36.7]"
"Ethiopia","2016","18+  years","14.9 [12.1-17.6]","11.3 [9.5-13.2]","18.3 [14.6-21.9]","13.6 [11.0-16.2]","10.2 [8.6-11.9]","16.8 [13.3-20.3]"
"Fiji","2016","18+  years","17.4 [12.5-23.6]","10.8 [7.7-15.1]","24.1 [17.5-32.2]","16.8 [12.1-22.9]","10.3 [7.3-14.5]","23.5 [17.0-31.5]"
