,,,"Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)"
"Country","Year","Age Group","Both sexes","Male","Female","Both sexes","Male","Female"
"Poland","2016","18+  years","32.5 [25.3-40.5]","31.5 [24.8-39.0]","33.4 [25.7-41.9]","34.3 [26.9-42.5]","32.6 [25.8-40.2]","35.7 [27.9-44.5]"
"Portugal","2016","18+  years","43.4 [35.0-52.2]","37.5 [29.8-46.0]","48.5 [39.5-57.6]","46.3 [37.8-55.1]","40.3 [32.2-48.9]","51.6 [42.6-60.6]"
"Qatar","2016","18+  years","36.8 [28.4-46.2]","33.2 [25.1-42.3]","48.7 [38.8-58.7]","33.6 [25.5-42.8]","29.9 [22.3-38.8]","45.8 [36.0-55.9]"
"Republic of Korea","2016","18+  years","35.4 [20.9-52.9]","29.5 [17.3-45.6]","41.0 [24.4-59.9]","37.1 [22.2-54.7]","31.1 [18.3-47.4]","42.9 [25.9-61.7]"
"Republic of Moldova","2016","18+  years","11.5 [8.1-16.0]","12.1 [8.7-16.7]","10.9 [7.6-15.4]","11.7 [8.2-16.3]","12.1 [8.6-16.6]","11.4 [7.9-16.1]"
"Romania","2016","18+  years","35.4 [27.8-43.7]","32.1 [25.3-39.7]","38.3 [30.0-47.4]","37.6 [29.8-46.1]","33.9 [26.9-41.7]","40.9 [32.4-50.0]"
"Russian Federation","2016","18+  years","17.1 [12.4-21.8]","16.6 [12.4-20.7]","17.6 [12.4-22.8]","18.0 [13.2-22.8]","16.2 [12.2-20.2]","19.4 [13.9-24.9]"
"Rwanda","2016","18+  years","14.6 [11.1-18.9]","11.0 [8.3-14.5]","17.6 [13.4-22.7]","13.4 [10.2-17.5]","9.8 [7.3-12.9]","16.6 [12.6-21.4]"
"Saint Kitts and Nevis","2016","18+  years","32.2 [24.3-41.2]","24.1 [17.8-31.9]","40.4 [30.9-50.6]","36.3 [27.9-45.6]","28.2 [21.1-36.5]","44.5 [34.7-54.7]"
"Saint Lucia","2016","18+  years","39.8 [30.3-49.9]","26.6 [19.2-35.6]","52.1 [40.8-63.3]","39.7 [30.3-49.8]","26.4 [19.0-35.3]","52.3 [41.0-63.4]"
"Saint Vincent and the Grenadines","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Samoa","2016","18+  years","12.6 [8.7-17.7]","8.2 [5.8-11.5]","17.2 [11.9-24.2]","12.4 [8.6-17.4]","7.9 [5.6-11.2]","17.1 [11.8-24.1]"
"San Marino","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Sao Tome and Principe","2016","18+  years","15.5 [11.7-20.2]","9.8 [7.3-13.0]","21.0 [16.0-27.1]","14.6 [11.0-19.1]","8.9 [6.6-11.9]","20.2 [15.3-26.1]"
"Saudi Arabia","2016","18+  years","53.1 [44.5-61.6]","44.9 [36.7-53.4]","65.1 [55.8-73.4]","51.9 [43.2-60.4]","43.7 [35.5-52.3]","63.8 [54.4-72.3]"
"Senegal","2016","18+  years","23.1 [18.7-27.5]","17.6 [14.7-20.4]","28.1 [22.3-34.0]","21.2 [17.0-25.3]","15.7 [13.3-18.2]","26.1 [20.5-31.8]"
"Serbia","2016","18+  years","39.5 [30.8-48.8]","34.8 [27.0-43.5]","43.8 [34.4-53.6]","41.2 [32.4-50.5]","36.0 [28.1-44.8]","46.0 [36.5-55.8]"
"Seychelles","2016","18+  years","18.8 [13.8-25.2]","17.7 [13.2-23.3]","20.0 [14.4-27.2]","18.8 [13.7-25.1]","17.5 [13.1-23.1]","20.0 [14.4-27.2]"
"Sierra Leone","2016","18+  years","14.3 [10.8-18.7]","10.1 [7.6-13.5]","18.3 [13.8-23.8]","13.3 [10.0-17.5]","9.1 [6.8-12.2]","17.4 [13.1-22.7]"
"Singapore","2016","18+  years","36.5 [21.7-54.3]","34.3 [20.8-50.9]","38.6 [22.6-57.5]","37.9 [22.7-55.8]","35.8 [21.8-52.7]","39.9 [23.6-58.7]"
"Slovakia","2016","18+  years","34.9 [27.6-43.0]","31.1 [24.6-38.5]","38.4 [30.3-47.1]","36.2 [28.7-44.3]","32.0 [25.4-39.4]","40.1 [31.9-48.8]"
"Slovenia","2016","18+  years","32.2 [25.2-40.1]","27.7 [21.7-34.6]","36.6 [28.7-45.4]","34.7 [27.4-42.7]","29.7 [23.3-36.9]","39.5 [31.3-48.4]"
"Solomon Islands","2016","18+  years","18.2 [13.0-24.8]","13.3 [9.5-18.2]","23.2 [16.5-31.5]","17.2 [12.2-23.6]","12.3 [8.8-17.0]","22.1 [15.7-30.2]"
"Somalia","2016","18+  years","No data","No data","No data","No data","No data","No data"
"South Africa","2016","18+  years","38.2 [30.1-46.8]","28.5 [22.0-35.9]","47.3 [37.7-57.0]","37.2 [29.3-45.7]","25.9 [19.8-33.0]","47.8 [38.3-57.6]"
"South Sudan","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Spain","2016","18+  years","26.8 [21.2-33.2]","22.9 [18.1-28.5]","30.5 [24.2-37.7]","29.6 [23.6-36.3]","25.1 [20.0-31.0]","33.8 [27.1-41.2]"
"Sri Lanka","2016","18+  years","28.9 [21.3-37.9]","20.2 [14.7-27.2]","36.7 [27.2-47.5]","29.4 [21.7-38.4]","20.5 [14.9-27.6]","37.4 [27.8-48.2]"
"Sudan","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Suriname","2016","18+  years","44.4 [36.4-52.7]","38.1 [30.8-46.1]","50.6 [42.0-59.3]","44.0 [36.0-52.3]","37.3 [30.0-45.2]","50.6 [41.9-59.2]"
"Sweden","2016","18+  years","23.1 [18.2-28.9]","21.5 [17.1-26.6]","24.7 [19.3-31.1]","25.2 [20.0-31.2]","23.4 [18.7-28.8]","27.0 [21.3-33.6]"
"Switzerland","2016","18+  years","23.7 [18.2-30.3]","21.7 [16.7-27.8]","25.7 [19.7-32.7]","26.0 [20.1-32.9]","23.5 [18.1-29.8]","28.4 [22.1-35.8]"
"Syrian Arab Republic","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Tajikistan","2016","18+  years","29.3 [21.2-38.8]","19.9 [14.0-27.6]","38.7 [28.5-49.9]","28.0 [20.2-37.4]","18.7 [13.0-26.1]","37.4 [27.4-48.6]"
"Thailand","2016","18+  years","24.6 [18.2-32.3]","21.8 [16.3-28.5]","27.2 [20.0-36.0]","25.4 [18.8-33.2]","22.6 [16.9-29.5]","28.0 [20.6-36.8]"
"Republic of North Macedonia","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Timor-Leste","2016","18+  years","17.8 [12.3-25.0]","10.3 [6.9-15.0]","25.5 [17.7-35.2]","17.1 [11.8-24.1]","9.7 [6.5-14.2]","24.7 [17.1-34.3]"
"Togo","2016","18+  years","9.8 [7.4-12.8]","9.2 [7.0-12.0]","10.3 [7.8-13.6]","8.8 [6.7-11.6]","8.0 [6.1-10.5]","9.6 [7.2-12.7]"
"Tonga","2016","18+  years","17.4 [12.4-23.6]","8.5 [5.9-11.9]","25.9 [18.6-34.8]","17.1 [12.2-23.3]","8.0 [5.6-11.4]","25.8 [18.5-34.7]"
"Trinidad and Tobago","2016","18+  years","38.2 [27.8-49.6]","27.2 [18.9-37.5]","48.6 [36.3-61.2]","38.4 [28.0-49.8]","27.1 [18.8-37.4]","49.1 [36.7-61.6]"
"Tunisia","2016","18+  years","30.4 [23.1-38.7]","26.4 [20.2-33.7]","34.1 [25.8-43.4]","29.5 [22.4-37.7]","25.4 [19.4-32.6]","33.4 [25.2-42.6]"
"Turkey","2016","18+  years","30.6 [23.3-38.8]","21.7 [16.3-28.4]","38.8 [29.9-48.5]","30.6 [23.4-38.8]","21.6 [16.1-28.2]","39.1 [30.2-48.8]"
"Turkmenistan","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Tuvalu","2016","18+  years","27.3 [20.5-35.4]","17.5 [12.7-23.7]","37.2 [28.3-47.0]","30.4 [23.0-38.7]","20.1 [14.7-26.9]","40.7 [31.4-50.6]"
"Uganda","2016","18+  years","5.5 [4.0-7.6]","5.2 [3.8-7.1]","5.8 [4.2-8.0]","5.0 [3.7-6.9]","4.6 [3.3-6.2]","5.5 [4.0-7.6]"
"Ukraine","2016","18+  years","19.6 [14.2-26.4]","18.7 [13.7-24.9]","20.4 [14.7-27.6]","20.7 [15.1-27.7]","18.9 [13.9-25.2]","22.2 [16.1-29.7]"
"United Arab Emirates","2016","18+  years","41.4 [32.8-49.9]","39.0 [30.5-47.4]","49.3 [40.2-58.5]","38.2 [29.7-46.8]","35.8 [27.5-44.2]","46.3 [37.0-55.5]"
"United Kingdom of Great Britain and Northern Ireland","2016","18+  years","35.9 [29.4-42.9]","31.5 [25.8-37.8]","40.0 [32.8-47.7]","38.4 [31.7-45.5]","33.9 [28.0-40.4]","42.7 [35.3-50.3]"
"United Republic of Tanzania","2016","18+  years","6.5 [4.8-8.6]","5.8 [4.3-7.7]","7.1 [5.3-9.5]","6.0 [4.4-7.9]","5.2 [3.9-7.0]","6.7 [5.0-8.9]"
"United States of America","2016","18+  years","40.0 [33.0-47.3]","31.7 [25.8-38.3]","48.0 [40.1-56.1]","42.5 [35.4-49.9]","33.7 [27.6-40.5]","51.0 [43.0-59.0]"
"Uruguay","2016","18+  years","22.4 [16.9-29.0]","18.7 [14.2-24.3]","25.7 [19.4-33.3]","23.8 [18.1-30.5]","19.4 [14.8-25.1]","27.7 [21.0-35.4]"
"Uzbekistan","2016","18+  years","19.1 [13.2-26.7]","13.3 [9.2-18.9]","24.4 [16.9-33.9]","18.4 [12.7-25.8]","12.5 [8.5-17.8]","23.9 [16.5-33.2]"
"Vanuatu","2016","18+  years","8.0 [5.4-11.6]","7.2 [4.9-10.4]","8.8 [5.9-12.8]","7.3 [5.0-10.7]","6.6 [4.5-9.5]","8.1 [5.4-11.8]"
"Venezuela (Bolivarian Republic of)","2016","18+  years","31.4 [24.0-40.0]","29.5 [22.5-37.5]","33.3 [25.3-42.4]","30.4 [23.1-38.9]","28.2 [21.4-36.1]","32.6 [24.7-41.6]"
"Viet Nam","2016","18+  years","25.4 [18.9-33.1]","19.9 [14.8-26.1]","30.6 [22.8-39.6]","25.1 [18.7-32.7]","19.3 [14.3-25.4]","30.5 [22.8-39.5]"
"Yemen","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Zambia","2016","18+  years","22.1 [17.3-26.8]","19.1 [14.8-23.3]","25.0 [19.7-30.2]","20.1 [15.7-24.6]","17.0 [13.1-20.9]","23.2 [18.1-28.2]"
"Zimbabwe","2016","18+  years","26.8 [20.5-34.3]","22.8 [17.2-29.5]","30.7 [23.5-38.9]","24.9 [18.9-32.1]","20.6 [15.4-26.9]","29.0 [22.1-37.0]"
